Id_A,SAME_AS,Id_B
18780079,SAME_AS,18810078
18780060,SAME_AS,18810079
18571108,SAME_AS,18810080
18780063,SAME_AS,18810081
18780140,SAME_AS,18810165
18780081,SAME_AS,18810084
18780083,SAME_AS,18810086
18780084,SAME_AS,18810087
18780069,SAME_AS,18810088
18780071,SAME_AS,18810090
18780072,SAME_AS,18810091
18780073,SAME_AS,18810092
18780074,SAME_AS,18810093
18780086,SAME_AS,18810094
18780088,SAME_AS,18810096
18780089,SAME_AS,18810097
18570033,SAME_AS,18810101
18780102,SAME_AS,18810101
18780103,SAME_AS,18810102
18780105,SAME_AS,18810104
18780106,SAME_AS,18810105
18780085,SAME_AS,18810111
18571100,SAME_AS,18810113
18780093,SAME_AS,18810113
18570148,SAME_AS,18810114
18780095,SAME_AS,18810115
18780096,SAME_AS,18810116
18570590,SAME_AS,18810117
18780126,SAME_AS,18810117
18780127,SAME_AS,18810118
18780128,SAME_AS,18810119
18572146,SAME_AS,18810121
18780109,SAME_AS,18810122
18780133,SAME_AS,18810124
18780134,SAME_AS,18810125
18780135,SAME_AS,18810126
18780136,SAME_AS,18810127
18780137,SAME_AS,18810128
18780138,SAME_AS,18810129
18570063,SAME_AS,18810130
18390157,SAME_AS,18810130
18780114,SAME_AS,18810130
18780116,SAME_AS,18810132
18570067,SAME_AS,18810132
18570059,SAME_AS,18810133
18781076,SAME_AS,18810133
18781077,SAME_AS,18810134
18781078,SAME_AS,18810135
18780145,SAME_AS,18810142
18570509,SAME_AS,18810143
18780147,SAME_AS,18810144
18780148,SAME_AS,18810145
18780149,SAME_AS,18810146
18570514,SAME_AS,18810153
18780150,SAME_AS,18810154
18780151,SAME_AS,18810155
18780152,SAME_AS,18810156
18780157,SAME_AS,18810160
18570080,SAME_AS,18810160
18570083,SAME_AS,18810161
18780159,SAME_AS,18810161
18780160,SAME_AS,18810162
18570077,SAME_AS,18810163
18780158,SAME_AS,18810163
18780139,SAME_AS,18810164
18780270,SAME_AS,18810306
18780269,SAME_AS,18810307
18781340,SAME_AS,18810309
18781341,SAME_AS,18810310
18570850,SAME_AS,18810166
18780168,SAME_AS,18810169
18780141,SAME_AS,18810170
18570524,SAME_AS,18810170
18780142,SAME_AS,18810171
18780144,SAME_AS,18810172
18572169,SAME_AS,18810173
18780170,SAME_AS,18810173
18780171,SAME_AS,18810174
18570044,SAME_AS,18810175
18780117,SAME_AS,18810175
18780119,SAME_AS,18810176
18780118,SAME_AS,18810177
